county,agency,year,months_reported,_id,total_crime
Albany,Albany City PD,2019,12,6086bfb3597615d5d0c4e6d4,7322
Albany,Albany County Park PD,2019,12,6086bfb3597615d5d0c4e6d5,4
Albany,Albany County Sheriff,2019,12,6086bfb3597615d5d0c4e6d6,296
Albany,Albany County State Police,2019,12,6086bfb3597615d5d0c4e6d7,300
Albany,Altamont Vg PD,2019,12,6086bfb3597615d5d0c4e6d8,10
Albany,Bethlehem Town PD,2019,12,6086bfb3597615d5d0c4e6d9,934
Albany,Coeymans Town PD,2019,12,6086bfb3597615d5d0c4e6da,176
Albany,Cohoes City PD,2019,12,6086bfb3597615d5d0c4e6db,380
Albany,Colonie Town PD,2019,12,6086bfb3597615d5d0c4e6dc,3864
Albany,Green Island Vg PD,2019,9,6086bfb3597615d5d0c4e6de,56
Albany,Guilderland Town PD,2019,12,6086bfb3597615d5d0c4e6df,1736
Albany,Menands Vg PD,2019,12,6086bfb3597615d5d0c4e6e0,192
Albany,SUNY Police - Albany,2019,12,6086bfb3597615d5d0c4e6e1,282
Albany,SUNY Police - Nanoscale Science and Engineering,2019,12,6086bfb3597615d5d0c4e6e2,14
Albany,Watervliet City PD,2019,12,6086bfb3597615d5d0c4e6e3,484
Allegany,Alfred Vg PD,2019,12,6086bfb3597615d5d0c4e6e4,48
Allegany,Allegany County Sheriff,2019,12,6086bfb3597615d5d0c4e6e5,20
Allegany,Allegany County State Police,2019,12,6086bfb3597615d5d0c4e6e6,578
Allegany,Belmont Vg PD,2019,12,6086bfb3597615d5d0c4e6e7,6
Allegany,Bolivar Vg PD,2019,12,6086bfb3597615d5d0c4e6e8,8
Allegany,Cuba Town PD,2019,12,6086bfb3597615d5d0c4e6ea,56
Allegany,Friendship Town PD,2019,12,6086bfb3597615d5d0c4e6eb,16
Allegany,Independence Town PD,2019,12,6086bfb3597615d5d0c4e6ec,12
Allegany,SUNY Police - Alfred,2019,12,6086bfb3597615d5d0c4e6ed,84
Allegany,Wellsville Vg PD,2019,12,6086bfb3597615d5d0c4e6ee,84
Bronx,County Total,2019,12,6086bfb3597615d5d0c4e6ef,70510
Broome,Binghamton City PD,2019,12,6086bfb3597615d5d0c4e6f0,4520
Broome,Broome County Park PD,2019,12,6086bfb3597615d5d0c4e6f1,10
Broome,Broome County Sheriff,2019,12,6086bfb3597615d5d0c4e6f2,1072
Broome,Broome County State Police,2019,12,6086bfb3597615d5d0c4e6f3,888
Broome,Deposit Vg PD,2019,12,6086bfb3597615d5d0c4e6f5,22
Broome,Endicott Vg PD,2019,12,6086bfb3597615d5d0c4e6f6,904
Broome,Johnson City Vg PD,2019,12,6086bfb3597615d5d0c4e6f7,1654
Broome,Port Dickinson Vg PD,2019,1,6086bfb3597615d5d0c4e6f8,2
Broome,SUNY Police - Binghamton,2019,12,6086bfb3597615d5d0c4e6f9,326
Broome,Vestal Town PD,2019,12,6086bfb3597615d5d0c4e6fa,940
Cattaraugus,Allegany Vg PD,2019,12,6086bfb3597615d5d0c4e6fb,20
Cattaraugus,Cattaraugus County Park PD,2019,12,6086bfb3597615d5d0c4e6fc,18
Cattaraugus,Cattaraugus County Sheriff,2019,12,6086bfb3597615d5d0c4e6fd,502
Cattaraugus,Cattaraugus County State Police,2019,12,6086bfb3597615d5d0c4e6fe,426
Cattaraugus,Ellicottville Town PD,2019,12,6086bfb3597615d5d0c4e700,20
Cattaraugus,Franklinville Vg PD,2019,12,6086bfb3597615d5d0c4e701,4
Cattaraugus,Olean City PD,2019,12,6086bfb3597615d5d0c4e702,710
Cattaraugus,Salamanca City PD,2019,12,6086bfb3597615d5d0c4e703,156
Cayuga,Auburn City PD,2019,12,6086bfb3597615d5d0c4e704,1720
Cayuga,Cayuga County Park PD,2019,12,6086bfb3597615d5d0c4e705,6
Cayuga,Cayuga County Sheriff,2019,12,6086bfb3597615d5d0c4e706,210
Cayuga,Cayuga County State Police,2019,12,6086bfb3597615d5d0c4e707,438
Cayuga,Moravia Vg PD,2019,12,6086bfb3597615d5d0c4e709,22
Cayuga,Weedsport Vg PD,2019,12,6086bfb3597615d5d0c4e70a,28
Chautauqua,Carroll Town PD,2019,12,6086bfb3597615d5d0c4e70b,38
Chautauqua,Chautauqua County Sheriff,2019,12,6086bfb3597615d5d0c4e70c,922
Chautauqua,Chautauqua County State Police,2019,12,6086bfb3597615d5d0c4e70d,336
Chautauqua,Dunkirk City PD,2019,12,6086bfb3597615d5d0c4e70f,462
Chautauqua,Ellicott Town PD,2019,12,6086bfb3597615d5d0c4e710,508
Chautauqua,Fredonia Vg PD,2019,12,6086bfb3597615d5d0c4e711,418
Chautauqua,Jamestown City PD,2019,12,6086bfb3597615d5d0c4e712,2126
Chautauqua,Lakewood-Busti PD,2019,12,6086bfb3597615d5d0c4e713,674
Chautauqua,SUNY Police - Fredonia,2019,12,6086bfb3597615d5d0c4e714,82
Chautauqua,Westfield Vg PD,2019,12,6086bfb3597615d5d0c4e715,22
Chemung,Chemung County Sheriff,2019,12,6086bfb3597615d5d0c4e716,460
Chemung,Chemung County State Police,2019,12,6086bfb3597615d5d0c4e717,590
Chemung,Elmira City PD,2019,12,6086bfb3597615d5d0c4e719,1828
