_id,term,high_school_name,high_school_ceeb,city,county,zip_code,total_attending_suny_institutions,attending_suny_doctoral_institutions,attending_suny_comprehensive_colleges,attending_suny_technology_colleges,attending_suny_community_colleges
608833424e591253b5935d94,2016,Rhodes Preparatory School,333909,New York,New York,10024,1,0,0,0,1
608833424e591253b5935d95,2016,Gaynor Mc Cown Expeditionary,335367,Staten Island,Richmond,10314,15,1,8,1,1
608833424e591253b5935d96,2016,Chesterton Academy Of Buffalo,335921,Cheektowaga,Erie,14206,1,0,0,0,1
608833424e591253b5935d97,2016,H. I. S.  Institute,335480,Syracuse,Onondaga,13205,1,0,0,0,1
608833424e591253b5935d98,2016,The Harvey School,332644,Katonah,Westchester,10536,5,1,1,0,1
608833424e591253b5935d99,2016,Convent Of The Sacred Heart,333575,New York,New York,10128,1,1,0,0,0
608833424e591253b5935d9a,2016,Saint Raymond High School Boys,334011,Bronx,Bronx,10462,38,10,9,6,13
608833424e591253b5935d9b,2016,Grace Career & Technical High,333660,Bronx,Bronx,10458,1,0,0,0,1
608833424e591253b5935d9c,2016,The Heritage School,333678,New York,New York,10029,7,1,1,4,0
608833424e591253b5935d9d,2016,East Rochester High School,331730,East Rochester,Monroe,14445,34,1,8,1,22
608833424e591253b5935d9e,2016,Bainbridge - Guilford Central,330290,Bainbridge,Chenango,13733,28,1,1,7,17
608833424e591253b5935d9f,2016,School For Human Rights,330909,Brooklyn,Kings,11203,1,0,0,1,0
608833424e591253b5935da0,2016,Suffern High School,335435,Suffern,Rockland,10901,177,48,39,1,88
608833424e591253b5935da1,2016,Helen Hayes Hospital/School,335890,West Haverstraw,Rockland,10993,1,0,0,0,1
608833424e591253b5935da2,2016,Academy For Environmental Lead,330979,Brooklyn,Kings,11237,1,1,0,0,1
608833424e591253b5935da3,2016,Urban Assembly Gateway School,333814,New York,New York,10019,20,1,12,5,1
608833424e591253b5935da4,2016,Oppenheim - Ephratah Central S,334999,Saint Johnsville,Fulton,13452,1,0,0,0,1
608833424e591253b5935da5,2016,Maple Grove Jr  Sr High School,330400,Bemus Point,Chautauqua,14712,24,6,4,0,14
608833424e591253b5935da6,2016,Urban Academy,334105,New York,New York,10065,1,0,0,1,1
608833424e591253b5935da7,2016,Alfred E Smith High School,333485,Bronx,Bronx,10451,4,0,0,1,1
608833424e591253b5935da8,2016,Garden School,332540,Jackson Heights,Queens,11372,1,1,1,0,0
608833424e591253b5935da9,2016,Eagle Academy For Young Men,330497,Bronx,Bronx,10457,28,1,1,9,15
608833424e591253b5935daa,2016,Bronxwood Preparatory Academy,330744,Bronx,Bronx,10466,11,0,4,1,5
