Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Medicaid Enrollee Count by County,Count of Recipients by Rate Code Group and County,Units Total,Paid Claim Total
2014,2,CENTRAL NY,BROOME,ADULT,ASSERTIVE COMMUNITY TREATMENT,27255,61,622,899264
2014,2,CENTRAL NY,BROOME,ADULT,OMH LICENSED CLINIC TREATMENT,27255,2329,16957,1764794
2014,2,CENTRAL NY,BROOME,ADULT,COMMUNITY RESIDENCE,27255,92,610,1437842
2014,2,CENTRAL NY,BROOME,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",27255,179,246,154516
2014,2,CENTRAL NY,BROOME,ADULT,MH EMERGENCY,27255,1005,1539,427157
2014,2,CENTRAL NY,BROOME,ADULT,OMH PREPAID MENTAL HEALTH PLAN,27255,349,3131,2892922
2014,2,CENTRAL NY,BROOME,ADULT,PARTIAL HOSPITALIZATION,27255,0,0,0
2014,2,CENTRAL NY,BROOME,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,27255,0,0,0
2014,2,CENTRAL NY,BROOME,ADULT,PSYCH INPATIENT 28,27255,439,5839,2301141
2014,2,CENTRAL NY,BROOME,ADULT,PSYCH INPATIENT 31,27255,0,0,0
2014,2,CENTRAL NY,BROOME,ADULT,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",27255,52,260,262855
2014,2,CENTRAL NY,BROOME,CHILD,OMH LICENSED CLINIC TREATMENT,20310,883,6699,1031004
2014,2,CENTRAL NY,BROOME,CHILD,COMMUNITY RESIDENCE,20310,24,147,1162710
2014,2,CENTRAL NY,BROOME,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",20310,67,111,103842
2014,2,CENTRAL NY,BROOME,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),20310,55,273,766385
2014,2,CENTRAL NY,BROOME,CHILD,MH EMERGENCY,20310,428,584,208320
2014,2,CENTRAL NY,BROOME,CHILD,OMH CHILDREN'S DAY TREATMENT,20310,38,4085,717238
2014,2,CENTRAL NY,BROOME,CHILD,PSYCH INPATIENT 28,20310,46,438,241296
2014,2,CENTRAL NY,BROOME,CHILD,PSYCH INPATIENT 31,20310,0,0,0
2014,2,CENTRAL NY,BROOME,CHILD,PSYCH INPATIENT SPC,20310,36,756,1088270
2014,2,CENTRAL NY,BROOME,CHILD,RESIDENTIAL TREATMENT FACILITY,20310,0,0,0
2014,2,CENTRAL NY,BROOME,CHILD,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",20310,194,909,480810
2014,2,CENTRAL NY,BROOME,SENIOR,ASSERTIVE COMMUNITY TREATMENT,4343,0,0,0
2014,2,CENTRAL NY,BROOME,SENIOR,OMH LICENSED CLINIC TREATMENT,4343,76,569,43821
2014,2,CENTRAL NY,BROOME,SENIOR,COMMUNITY RESIDENCE,4343,0,0,0
2014,2,CENTRAL NY,BROOME,SENIOR,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",4343,0,0,0
2014,2,CENTRAL NY,BROOME,SENIOR,MH EMERGENCY,4343,47,60,1752
2014,2,CENTRAL NY,BROOME,SENIOR,OMH PREPAID MENTAL HEALTH PLAN,4343,45,406,375222
2014,2,CENTRAL NY,BROOME,SENIOR,PSYCH INPATIENT 28,4343,0,0,0
2014,2,CENTRAL NY,BROOME,SENIOR,PSYCH INPATIENT SPC,4343,0,0,0
2014,2,CENTRAL NY,BROOME,SENIOR,"TARGETED CASE MANAGEMENT (ICM, BCM, SCM)",4343,0,0,0
2014,2,CENTRAL NY,CAYUGA,ADULT,OMH LICENSED CLINIC TREATMENT,9155,1472,15920,2186294
2014,2,CENTRAL NY,CAYUGA,ADULT,COMMUNITY RESIDENCE,9155,60,364,716373
2014,2,CENTRAL NY,CAYUGA,ADULT,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",9155,0,0,0
2014,2,CENTRAL NY,CAYUGA,ADULT,CONTINUING DAY TREATMENT,9155,0,0,0
2014,2,CENTRAL NY,CAYUGA,ADULT,MH EMERGENCY,9155,382,748,138386
2014,2,CENTRAL NY,CAYUGA,ADULT,OMH PREPAID MENTAL HEALTH PLAN,9155,0,0,0
2014,2,CENTRAL NY,CAYUGA,ADULT,PARTIAL HOSPITALIZATION,9155,0,0,0
2014,2,CENTRAL NY,CAYUGA,ADULT,PERSONALIZED RECOVERY ORIENTED SERVICES,9155,146,618,263596
2014,2,CENTRAL NY,CAYUGA,ADULT,PSYCH INPATIENT 28,9155,176,2190,1316020
2014,2,CENTRAL NY,CAYUGA,ADULT,PSYCH INPATIENT 31,9155,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,OMH LICENSED CLINIC TREATMENT,6747,722,8903,1138547
2014,2,CENTRAL NY,CAYUGA,CHILD,COMMUNITY RESIDENCE,6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,"COMPREHENSIVE PSYCHIATRIC EMERGENCY PROGRAM
NON-EOB",6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,HOME AND COMMUNITY BASED SERVICES WAIVER (HCBS),6747,20,118,317078
2014,2,CENTRAL NY,CAYUGA,CHILD,MH EMERGENCY,6747,132,250,61863
2014,2,CENTRAL NY,CAYUGA,CHILD,OMH CHILDREN'S DAY TREATMENT,6747,39,3784,351413
2014,2,CENTRAL NY,CAYUGA,CHILD,PARTIAL HOSPITALIZATION,6747,0,0,0
2014,2,CENTRAL NY,CAYUGA,CHILD,PSYCH INPATIENT 28,6747,29,229,156875
